#{"t_start": 1649682621.0002048, "env_id": "Reacher-v2"}
r,l,t
-74.537121,50,31.180175
-55.527274,50,31.231279
-67.31143,50,31.280663
-54.54717,50,31.33126
-58.863896,50,31.38178
-61.398517,50,32.835371
-67.197999,50,32.89709
-69.5676,50,32.948576
-80.218539,50,32.998636
-70.327943,50,33.049716
-62.127015,50,33.099595
-78.165648,50,33.152231
-75.690993,50,33.199823
-58.995184,50,33.247079
-68.328827,50,33.294135
-76.316081,50,33.34111
-61.359882,50,33.390018
-49.181873,50,33.437571
-66.713713,50,33.484906
-67.311609,50,33.53242
-70.648073,50,33.579876
-64.91712,50,33.628583
-62.230336,50,33.680517
-61.798286,50,33.731867
-74.17778,50,33.782004
-64.80815,50,33.832407
-76.241187,50,33.883474
-60.706837,50,33.934015
-69.771842,50,33.983201
-71.337762,50,34.034005
-63.434854,50,34.084362
-52.869751,50,34.133307
-65.526745,50,34.184486
-69.208231,50,34.235847
-65.019598,50,34.28677
-73.333866,50,34.337559
-78.491749,50,34.387993
-68.720873,50,34.439377
-70.907588,50,34.490286
-76.481301,50,34.540903
-69.360401,50,34.592179
-66.567892,50,34.64322
-70.799256,50,34.693744
-52.484906,50,34.744026
-71.771349,50,34.794132
-63.435909,50,34.845049
-67.779094,50,36.354728
-65.627271,50,36.405501
-63.688824,50,36.456373
-73.324657,50,36.506587
-66.362625,50,36.556987
-69.391869,50,36.607327
-73.982645,50,36.65772
-67.689326,50,36.708885
-59.052435,50,36.759209
-76.852779,50,36.809394
-66.530475,50,36.859492
-60.61678,50,36.910893
-56.796402,50,36.961334
-53.758351,50,37.011235
-63.062037,50,37.062209
-72.186661,50,37.112895
-71.524488,50,37.163811
-64.217724,50,37.213992
-59.190692,50,37.264981
-82.900258,50,37.313008
-54.627787,50,37.359906
-63.10649,50,37.406833
-69.842884,50,37.453568
-67.875395,50,37.502134
-71.576343,50,37.549778
-61.917914,50,37.597061
-50.758553,50,37.644481
-69.628005,50,37.691863
-52.265043,50,37.739872
-49.650851,50,37.790076
-56.438638,50,37.841432
-56.346061,50,37.891553
-80.177141,50,37.941846
-59.79055,50,37.99294
-53.313067,50,38.043477
-73.793422,50,38.092826
-58.8974,50,38.143719
-63.033998,50,38.194175
-54.460299,50,38.243584
-58.783962,50,38.294044
-65.119754,50,38.344891
-66.119152,50,39.789992
-68.481606,50,39.839394
-63.565594,50,39.889039
-47.110226,50,39.93921
-71.337369,50,39.98937
-59.104446,50,40.039121
-68.712292,50,40.08913
-59.884826,50,40.140023
-46.007333,50,40.189923
-47.330553,50,40.240115
-57.048809,50,40.289728
-49.553868,50,40.339793
-47.319646,50,40.388833
-52.174432,50,40.438375
-53.643243,50,40.488966
-59.753406,50,40.539954
-41.170545,50,40.592083
-68.557774,50,40.642325
-56.331614,50,40.692328
-68.085334,50,40.742911
-54.615323,50,40.792841
-73.217876,50,40.842798
-57.246333,50,40.892475
-61.580427,50,40.941691
-64.331036,50,40.99131
-51.180862,50,41.040546
-55.500732,50,41.089621
-54.072009,50,41.140075
-60.575476,50,41.190085
-48.239569,50,41.239042
-51.584707,50,41.289196
-59.82719,50,41.338803
-49.174122,50,41.388661
-53.434434,50,41.435116
-55.999648,50,41.481458
-67.480857,50,41.528044
-51.231104,50,41.57444
-54.606522,50,41.623145
-54.108468,50,41.670144
-57.395333,50,41.717266
-53.099486,50,41.764388
-58.58257,50,43.169055
-49.641929,50,43.218757
-46.560209,50,43.26847
-66.215864,50,43.317943
-55.124186,50,43.367539
-44.993059,50,43.417152
-65.355522,50,43.467122
-46.015732,50,43.518981
-57.237284,50,43.571036
-59.413948,50,43.622925
-58.999845,50,43.674354
-51.316068,50,43.723956
-48.280662,50,43.774545
-52.045518,50,43.827145
-53.599804,50,43.877707
-67.575771,50,43.927516
-53.971849,50,43.976913
-51.77,50,44.026405
-63.990461,50,44.076251
-43.834684,50,44.126675
-51.529601,50,44.176599
-60.297219,50,44.226708
-53.674625,50,44.276491
-56.548688,50,44.326267
-60.99314,50,44.375998
-59.54181,50,44.425817
-53.496887,50,44.47569
-54.848368,50,44.525591
-56.57379,50,44.575459
-46.474206,50,44.625399
-54.770849,50,44.675408
-53.965628,50,44.726408
-51.593901,50,44.777174
-57.470805,50,44.827809
-45.219626,50,44.877635
-49.110296,50,44.927826
-54.93039,50,44.977763
-64.676046,50,45.028085
-54.873035,50,45.077864
-65.952448,50,45.127394
-58.11047,50,45.178212
-53.531491,50,46.552146
-48.662789,50,46.601731
-50.771569,50,46.651251
-67.86625,50,46.701888
-54.32162,50,46.751739
-49.613451,50,46.801731
-55.190065,50,46.851301
-60.006473,50,46.902346
-57.245997,50,46.952755
-42.031598,50,47.003335
-49.2251,50,47.054271
-57.088249,50,47.105278
-48.753904,50,47.156028
-48.016803,50,47.206346
-48.260619,50,47.256108
-41.944151,50,47.306337
-47.075094,50,47.356701
-48.738277,50,47.406988
-50.035816,50,47.456547
-40.020025,50,47.506354
-50.594539,50,47.555904
-57.359352,50,47.606802
-53.362887,50,47.658412
-58.650887,50,47.708251
-63.003398,50,47.758436
-62.602817,50,47.80812
-45.469024,50,47.857924
-47.804197,50,47.90769
-55.069912,50,47.958163
-46.812989,50,48.010711
-59.427899,50,48.061066
-53.540115,50,48.109811
-62.795803,50,48.1593
-53.94073,50,48.208998
-52.86649,50,48.260056
-39.285743,50,48.309222
-45.522285,50,48.359327
-53.758409,50,48.40941
-44.133699,50,48.458511
-53.809852,50,48.509815
-52.428493,50,48.559621
-50.072962,50,50.082601
-42.952268,50,50.131906
-48.977396,50,50.182108
-47.015131,50,50.231815
-43.996598,50,50.281726
-50.931173,50,50.332487
-39.227671,50,50.381991
-44.663673,50,50.430819
-45.059277,50,50.48117
-40.953815,50,50.530759
-52.9932,50,50.578694
-48.413116,50,50.628663
-41.391503,50,50.679398
-42.017643,50,50.729101
-38.128353,50,50.778754
-45.644907,50,50.828429
-45.21778,50,50.878692
-48.469671,50,50.928841
-41.148127,50,50.978641
-42.853034,50,51.02893
-56.440627,50,51.079264
-37.743436,50,51.12884
-47.310538,50,51.178862
-46.457232,50,51.228309
-41.641462,50,51.278191
-44.771313,50,51.328146
-46.30804,50,51.377865
-43.111002,50,51.427296
-53.178795,50,51.477093
-47.275427,50,51.527223
-42.812549,50,51.577766
-43.703264,50,51.627861
-55.805586,50,51.678054
-42.169088,50,51.729595
-40.929997,50,51.779506
-47.782549,50,51.829192
-62.931959,50,51.879724
